fn	sample_name	id	idz	group	title	author	year	l	num_lines
corpus/Sonnets/Z300342466.txt	Sonnets	english/drummond/Z300342466	Z300342466	1600-1624	[i]  [The Instabilitie of Mortall Glorie.]	Drummond, William, 1585-1649	1913	Proude Obeliskes, Tombes of the vastest frame,	14
corpus/Sonnets/Z200273009.txt	Sonnets	english/barnfiel/Z200273009	Z200273009	1600-1624	Sonnet, XIIII.  [Lord, my dryrie foes, why doe they multiply?]	Barnfield, Richard, 1574-1627	1594	Me for to ruinate, sundry be couetous.	16
corpus/Sonnets/Z300340669.txt	Sonnets	english/donnejoh/Z300340669	Z300340669	1600-1624	TEN SONNETS TO PHILOMEL.	Donne, John, 1572-1631	1872	By which Loue entred to auaile our hearts;	140
corpus/Sonnets/Z400342275.txt	Sonnets	english/drummond/Z400342275	Z400342275	1600-1624	Son. [iv]  [Faire is my Yoke, though grieuous bee my Paines]	Drummond, William, 1585-1649	1913	Sweet are my Wounds, although they deeply smart,	14
corpus/Sonnets/Z400342631.txt	Sonnets	english/drummond/Z400342631	Z400342631	1600-1624	vi.  Sonnet before a poëme of Irene.	Drummond, William, 1585-1649	1913	Mourne not (faire Grece) the ruine of thy kings,	14
corpus/Sonnets/Z400340810.txt	Sonnets	english/donnejoh/Z400340810	Z400340810	1600-1624	XII.  [Father, part of his double interest]	Donne, John, 1572-1631	1872	Father, part of his double interest	14
corpus/Sonnets/Z300272968.txt	Sonnets	english/barnfiel/Z300272968	Z300272968	1600-1624	SONNET. XIX.  [Ah no; nor I my selfe: though my pure loue]	Barnfield, Richard, 1574-1627	1594	Ah no; nor I my selfe: though my pure loue	14
corpus/Sonnets/Z200340853.txt	Sonnets	english/donnejoh/Z200340853	Z200340853	1600-1624	To M.C. B.	Donne, John, 1572-1631	1872	Urg'd by this unexcusable occasion,	14
corpus/Sonnets/Z200265746.txt	Sonnets	english/aytonrob/Z200265746	Z200265746	1600-1624	22. [Sonnet: Farewell to Life and Love]	Ayton, Robert, Sir, 1570-1632	1963	I bid farewell into the world and thee,	14
corpus/Sonnets/Z300440704.txt	Sonnets	english/miscell3/Z300440704	Z300440704	1600-1624	LXXX THE LESSONS OF NATURE	Drummond, William, 1585-1649	1888	Of this fair volume which we World do name	15
corpus/Sonnets/Z200275566.txt	Sonnets	english/beaujohn/Z200275566	Z200275566	1600-1624	TO THE AUTHOUR.	Beaumont, John, Sir, 1583-1627	1629	From Paphos, where she erst was held diuine,	14
corpus/Sonnets/Z400342287.txt	Sonnets	english/drummond/Z400342287	Z400342287	1600-1624	Son. [xiii]  [O sacred Blush impurpling Cheekes pure Skies]	Drummond, William, 1585-1649	1913	O bashfull Looke sent from those shining Eyes,	14
corpus/Sonnets/Z200410330.txt	Sonnets	english/kinghenr/Z200410330	Z200410330	1600-1624	Silence. A SONNET.	King, Henry, 1592-1669	1648	Sorrowes speak loud without a tongue:	24
corpus/Sonnets/Z400342278.txt	Sonnets	english/drummond/Z400342278	Z400342278	1600-1624	Son. [vii]  [That learned Græcian (who did so excell]	Drummond, William, 1585-1649	1913	In Knowledge passing Sense, that hee is nam'd	14
corpus/Sonnets/Z300272957.txt	Sonnets	english/barnfiel/Z300272957	Z300272957	1600-1624	SONNET. VIII.  [Sometimes I wish that I his pillow were]	Barnfield, Richard, 1574-1627	1594	Sometimes I wish that I his pillow were,	14
corpus/Sonnets/Z400342319.txt	Sonnets	english/drummond/Z400342319	Z400342319	1600-1624	Son. [xli]  [Is't not enough (aye mee) mee thus to see]	Drummond, William, 1585-1649	1913	Like some Heauen&hyphen;banish'd Ghost still wailing goe?	14
corpus/Sonnets/Z400340809.txt	Sonnets	english/donnejoh/Z400340809	Z400340809	1600-1624	XI.  [Wilt thou love God, as he thee! then digest]	Donne, John, 1572-1631	1872	Wilt thou love God, as he thee! then digest,	14
corpus/Sonnets/Z400342303.txt	Sonnets	english/drummond/Z400342303	Z400342303	1600-1624	Son. [xxvii]  [That I so slenderly set foorth my Minde]	Drummond, William, 1585-1649	1913	Writing I wote not what in ragged Rimes,	14
corpus/Sonnets/Z300275521.txt	Sonnets	english/beaujohn/Z300275521	Z300275521	1600-1624	Of his Maiesties vow for the felicity of my Lord Marquesse of Buckingham.	Beaumont, John, Sir, 1583-1627	1629	From him, that vnder God the Earth commands:	14
corpus/Sonnets/Z200273001.txt	Sonnets	english/barnfiel/Z200273001	Z200273001	1600-1624	Sonnet, VI.  [Of Tel&hyphen;tales tell my muse]	Barnfield, Richard, 1574-1627	1594	of such as loue to lie:	18
corpus/Sonnets/Z300272956.txt	Sonnets	english/barnfiel/Z300272956	Z300272956	1600-1624	SONNET. VII.  [Sweet Thames I honour thee, not for thou art]	Barnfield, Richard, 1574-1627	1594	The chiefest Riuer of the fairest Ile,	14
corpus/Sonnets/Z300342499.txt	Sonnets	english/drummond/Z300342499	Z300342499	1600-1624	[xxvi]  [The Blessednesse of Faithfull Soules by Death.]	Drummond, William, 1585-1649	1913	If this (and not our Feares) be truely Death;	14
corpus/Sonnets/Z300342490.txt	Sonnets	english/drummond/Z300342490	Z300342490	1600-1624	[xix]  [Earth and all on it Changeable.]	Drummond, William, 1585-1649	1913	From the great Continent our happie Isle,	14
